area_sqft,bedrooms,bathrooms,age_of_house,distance_from_city_km,garage,garden,floors,price
,3,1,10.0,18.7,1,1,2,791000
1495.0,5,3,26.0,45.4,1,0,2,794000
3842.0,2,1,2.0,38.7,0,1,1,500000
4298.0,3,2,16.0,28.3,1,0,2,588000
1775.0,5,2,43.0,13.5,0,1,1,741000
,1,1,27.0,15.8,1,0,2,500000
837.0,2,3,28.0,36.9,1,1,2,500000
1378.0,2,1,20.0,42.7,1,1,2,500000
1576.0,2,3,46.0,33.9,1,0,1,500000
4493.0,3,2,15.0,40.7,1,1,2,690000
879.0,5,3,,38.6,1,1,1,730000
992.0,5,2,19.0,8.3,1,0,1,1001000
2562.0,1,3,5.0,21.8,1,0,2,577000
4384.0,1,3,18.0,8.5,1,0,2,677000
564.0,2,3,4.0,12.5,0,0,1,569000
3068.0,1,1,2.0,43.6,0,1,1,500000
2527.0,3,1,0.0,24.2,1,1,3,735000
3195.0,5,2,37.0,27.2,0,1,1,611000
1995.0,2,2,14.0,9.7,0,0,3,573000
891.0,1,1,33.0,16.3,1,0,3,500000
,3,2,,12.3,1,0,3,800000
4061.0,3,1,,11.1,1,1,2,629000
2778.0,1,3,24.0,32.3,1,1,2,500000
3599.0,5,2,23.0,13.6,1,0,1,989000
700.0,1,2,11.0,32.0,0,1,3,500000
3604.0,2,1,17.0,3.9,1,1,2,705000
2954.0,1,2,14.0,7.9,0,1,2,500000
4145.0,3,2,43.0,14.5,1,1,2,664000
1304.0,1,3,15.0,30.3,1,1,2,500000
3231.0,5,2,26.0,,1,1,2,896000
3273.0,4,3,7.0,,1,1,3,1071000
2070.0,1,1,45.0,22.8,1,1,3,500000
3190.0,5,2,24.0,36.5,0,0,3,814000
4340.0,5,3,16.0,1.8,1,0,3,1199000
1528.0,3,1,28.0,17.7,0,0,1,500000
1002.0,5,2,,41.1,0,1,3,787000
4993.0,5,1,14.0,30.6,0,0,2,772000
1370.0,5,2,26.0,17.5,1,1,3,1072000
4988.0,5,1,45.0,45.4,1,1,1,780000
706.0,2,1,49.0,38.9,0,1,2,500000
1984.0,2,3,6.0,14.0,1,0,3,642000
1363.0,3,1,2.0,32.6,1,1,3,705000
3290.0,1,2,28.0,30.2,0,1,3,500000
,5,2,43.0,20.7,1,1,2,718000
4691.0,1,3,23.0,19.0,1,0,2,500000
2257.0,1,2,2.0,,1,1,1,601000
2178.0,3,2,19.0,31.2,1,0,2,672000
3742.0,5,2,45.0,22.7,0,0,2,550000
1559.0,5,1,14.0,41.8,1,1,3,687000
2222.0,4,1,24.0,,1,1,2,741000
3814.0,1,2,29.0,4.4,1,1,3,600000
3657.0,1,3,13.0,32.4,0,1,3,500000
3125.0,2,1,6.0,14.3,1,1,2,631000
3229.0,4,3,16.0,30.0,1,1,1,938000
2097.0,2,2,43.0,34.3,0,0,1,500000
3560.0,2,2,19.0,12.3,1,1,2,652000
3193.0,2,1,35.0,23.4,1,0,1,500000
4127.0,3,2,8.0,10.3,1,1,3,989000
1863.0,3,1,37.0,3.6,1,1,3,752000
2481.0,2,2,47.0,19.5,1,0,2,500000
,4,2,21.0,18.8,1,1,1,783000
2029.0,1,1,1.0,49.8,1,1,1,500000
2538.0,4,1,23.0,22.9,0,1,3,704000
3802.0,5,1,7.0,17.3,1,1,2,1059000
2737.0,3,2,10.0,29.4,1,1,1,770000
1806.0,1,2,12.0,5.3,1,1,2,500000
4529.0,1,3,16.0,48.1,1,0,1,500000
3175.0,5,1,7.0,32.1,0,1,3,847000
1782.0,5,2,20.0,38.0,1,1,3,785000
1209.0,2,2,17.0,,1,0,2,707000
4913.0,3,1,29.0,21.1,1,0,3,640000
4248.0,3,3,17.0,21.7,1,1,1,862000
1163.0,4,1,45.0,41.3,1,1,3,534000
2498.0,2,3,46.0,1.1,0,1,2,648000
,2,2,30.0,15.7,1,1,2,646000
4243.0,2,3,37.0,49.1,0,0,2,500000
1995.0,2,2,,24.3,0,0,1,500000
3804.0,3,1,10.0,19.7,1,1,1,680000
4263.0,3,1,44.0,6.9,0,0,1,507000
2353.0,2,1,24.0,48.7,1,0,1,500000
1791.0,4,3,32.0,2.0,1,0,1,965000
4081.0,1,2,37.0,37.1,1,1,3,500000
3957.0,1,1,40.0,38.7,0,1,1,500000
2136.0,4,1,7.0,,1,0,1,863000
4196.0,2,2,10.0,33.9,0,1,3,500000
3499.0,3,1,21.0,5.6,1,1,1,761000
3652.0,1,2,23.0,13.6,1,1,2,716000
1198.0,5,2,40.0,39.6,1,0,1,704000
2660.0,5,2,16.0,43.4,1,1,1,782000
4597.0,4,2,11.0,30.8,1,0,2,817000
,2,2,45.0,25.8,0,1,2,500000
3974.0,1,3,31.0,8.8,1,1,2,673000
,2,1,14.0,4.1,1,0,2,705000
,1,3,15.0,6.8,1,1,1,675000
2233.0,4,1,21.0,12.1,0,1,2,731000
4010.0,4,3,27.0,17.7,0,0,2,788000
,5,2,19.0,19.7,0,1,3,895000
3755.0,2,1,32.0,18.0,1,0,2,500000
4718.0,5,1,9.0,12.7,1,1,2,1001000
4996.0,2,3,39.0,26.0,1,1,3,793000
1266.0,5,3,31.0,41.4,1,1,3,780000
4889.0,3,1,49.0,14.7,0,0,1,500000
2827.0,3,3,32.0,47.2,1,1,3,632000
3431.0,3,3,1.0,43.8,1,1,1,824000
697.0,3,3,32.0,8.9,1,1,3,811000
2430.0,1,2,32.0,39.5,1,1,3,500000
4082.0,3,2,40.0,29.2,1,1,1,556000
1108.0,4,3,12.0,28.8,1,0,3,785000
3772.0,4,3,29.0,20.2,0,0,1,740000
1647.0,1,2,32.0,25.6,0,1,3,500000
4782.0,3,2,12.0,20.5,1,0,2,598000
3897.0,3,1,25.0,27.4,0,1,3,508000
3011.0,3,1,21.0,31.8,1,1,1,500000
2294.0,5,2,38.0,34.0,0,0,3,571000
1159.0,2,3,1.0,,1,1,1,637000
3311.0,5,3,37.0,36.3,0,1,1,650000
1869.0,2,3,38.0,7.9,1,1,2,527000
2486.0,3,3,25.0,11.4,1,0,2,854000
646.0,3,1,45.0,41.1,0,0,1,500000
3719.0,5,2,49.0,16.8,0,1,3,872000
3411.0,5,3,14.0,2.1,1,1,1,1179000
2234.0,2,1,,8.5,1,1,1,500000
2343.0,4,3,41.0,12.0,0,1,3,905000
988.0,2,2,43.0,47.9,1,0,3,500000
,5,1,48.0,29.1,0,1,3,686000
2459.0,5,2,39.0,46.7,1,0,3,717000
2885.0,1,2,10.0,29.2,1,1,1,500000
3419.0,5,1,2.0,24.5,1,1,1,1122000
2302.0,1,1,5.0,16.4,1,1,2,500000
4561.0,4,1,8.0,30.7,0,1,1,631000
3869.0,2,1,5.0,7.8,1,0,3,596000
,2,1,8.0,45.0,0,1,2,500000
1123.0,1,1,38.0,41.6,1,0,3,500000
1516.0,2,1,30.0,16.6,1,1,1,500000
4143.0,5,3,31.0,47.7,1,0,2,842000
2549.0,3,2,40.0,41.4,0,1,3,500000
4223.0,1,1,49.0,33.6,0,1,2,500000
3608.0,2,3,11.0,7.0,1,0,2,913000
4590.0,1,3,7.0,24.4,1,0,1,555000
2556.0,1,3,7.0,25.8,0,1,3,500000
,3,2,49.0,,1,1,2,850000
2182.0,5,1,27.0,4.9,0,0,2,894000
,1,3,19.0,39.1,1,0,3,503000
1654.0,2,2,46.0,7.0,1,0,2,536000
4999.0,4,2,6.0,30.1,1,1,2,1077000
,1,2,10.0,46.9,0,1,2,500000
2196.0,1,3,19.0,43.9,1,0,3,500000
4491.0,3,1,15.0,14.6,0,0,3,690000
2148.0,5,3,3.0,42.7,1,0,3,913000
1945.0,4,3,5.0,1.0,0,0,3,1049000
4699.0,2,1,21.0,1.9,1,1,1,500000
4423.0,4,1,25.0,30.5,1,0,2,713000
753.0,2,1,2.0,18.9,1,0,3,600000
3683.0,5,2,40.0,19.9,1,1,2,984000
3057.0,2,1,41.0,28.7,1,0,2,500000
598.0,3,3,13.0,10.4,1,1,1,768000
2700.0,3,1,10.0,11.4,1,1,3,891000
3461.0,3,3,17.0,24.7,1,1,3,793000
4933.0,3,2,11.0,38.0,1,1,2,810000
4277.0,4,3,22.0,,1,1,3,990000
3369.0,5,3,11.0,15.6,1,1,2,1204000
3734.0,2,1,12.0,22.1,1,1,2,500000
4291.0,2,1,24.0,9.4,0,1,1,500000
1456.0,3,3,44.0,,0,1,1,615000
4567.0,3,1,18.0,39.4,0,1,1,500000
660.0,1,2,45.0,14.0,0,0,2,500000
4993.0,5,2,35.0,9.7,0,0,3,1165000
1800.0,4,1,44.0,34.9,1,0,1,522000
4487.0,2,2,7.0,31.3,0,1,3,512000
2027.0,1,1,28.0,32.0,1,1,1,500000
1718.0,1,3,31.0,12.2,0,1,1,500000
4996.0,2,3,43.0,12.4,0,1,2,632000
3604.0,4,2,17.0,11.8,1,1,1,1093000
3235.0,1,1,5.0,9.5,1,0,1,633000
1454.0,1,1,17.0,33.1,0,1,2,500000
3946.0,5,2,18.0,42.6,1,1,3,1076000
1545.0,4,3,21.0,36.5,1,1,1,775000
2193.0,1,2,36.0,39.8,1,0,2,500000
3936.0,4,3,31.0,20.8,1,1,1,1049000
1062.0,2,1,,33.0,1,1,2,500000
2985.0,3,3,2.0,18.4,1,1,3,925000
3854.0,1,2,27.0,26.7,1,1,3,500000
725.0,5,1,,24.6,1,1,2,811000
1459.0,2,2,,9.7,0,0,2,500000
3567.0,4,2,28.0,20.0,1,1,2,901000
1315.0,2,3,14.0,48.2,0,1,3,500000
3620.0,1,2,32.0,13.2,1,1,1,500000
516.0,4,3,6.0,7.6,1,1,3,1129000
1743.0,3,1,11.0,21.5,1,0,2,596000
2705.0,2,3,48.0,39.7,0,0,2,500000
3024.0,1,1,29.0,29.5,0,1,3,500000
1569.0,5,3,20.0,34.4,1,1,2,1015000
3944.0,4,2,30.0,10.3,1,1,3,1127000
3065.0,2,3,23.0,31.3,1,0,2,519000
1560.0,2,3,,16.9,0,1,1,609000
2827.0,3,1,36.0,41.9,1,1,1,500000
3920.0,3,2,3.0,31.8,0,1,2,670000
801.0,5,3,27.0,10.7,1,0,3,1162000
4776.0,5,2,43.0,4.2,0,1,1,907000
,1,3,19.0,3.1,1,1,3,782000
3670.0,1,3,23.0,19.2,0,0,2,500000
1199.0,5,2,49.0,14.0,1,1,3,810000
1639.0,5,3,,32.7,1,1,1,834000
690.0,4,2,31.0,25.5,0,1,3,582000
2800.0,3,3,40.0,14.0,1,1,3,966000
1480.0,1,1,35.0,8.3,0,0,2,500000
3475.0,3,2,33.0,7.2,0,0,2,649000
,3,3,35.0,43.4,1,1,2,500000
3827.0,5,3,1.0,12.9,1,0,1,1279000
3894.0,4,1,14.0,32.9,1,1,1,680000
627.0,2,2,33.0,40.7,1,0,2,500000
2565.0,4,3,35.0,31.1,1,1,2,757000
2316.0,4,1,5.0,43.1,0,1,1,500000
1069.0,3,3,38.0,20.2,0,1,1,500000
2395.0,4,2,41.0,47.9,1,1,1,506000
3233.0,1,3,11.0,7.5,1,1,1,711000
4363.0,3,3,2.0,6.0,0,1,2,1093000
4514.0,1,3,44.0,33.3,0,0,1,500000
3401.0,2,3,17.0,47.2,1,1,2,560000
2186.0,3,1,39.0,40.6,1,1,3,500000
3509.0,2,1,20.0,4.7,0,1,3,500000
654.0,3,2,14.0,14.7,1,1,1,688000
3037.0,5,1,32.0,46.6,1,1,3,751000
1909.0,4,1,34.0,13.4,0,1,3,653000
4557.0,5,2,25.0,39.3,0,0,3,846000
,2,1,7.0,41.4,1,1,1,500000
3675.0,4,1,35.0,25.3,1,1,1,623000
4841.0,3,2,47.0,19.9,0,0,3,500000
3306.0,4,2,29.0,23.1,1,1,2,828000
1037.0,1,2,22.0,12.1,1,0,3,500000
2341.0,4,3,41.0,44.6,1,1,1,500000
2955.0,1,3,43.0,23.1,1,1,1,500000
1024.0,4,2,13.0,44.2,1,1,1,509000
3450.0,1,2,13.0,6.2,1,1,3,747000
4631.0,2,2,1.0,49.4,1,1,2,664000
4615.0,5,3,36.0,22.7,1,0,1,908000
2868.0,3,3,4.0,3.3,1,1,1,1036000
4347.0,4,1,37.0,2.9,1,1,3,1037000
4995.0,5,1,44.0,37.6,0,0,2,500000
3201.0,3,2,40.0,33.3,1,0,3,541000
1471.0,3,3,46.0,40.3,1,0,1,566000
1666.0,1,3,,6.2,0,0,2,500000
3274.0,2,3,38.0,2.7,1,1,2,716000
2482.0,2,2,24.0,25.9,1,1,1,500000
1353.0,5,1,19.0,20.0,0,0,2,554000
4646.0,2,2,1.0,23.6,1,1,2,773000
4236.0,4,1,38.0,49.6,0,0,3,560000
4269.0,2,1,5.0,48.6,0,1,1,500000
1074.0,5,2,16.0,47.2,1,1,1,566000
3761.0,2,1,24.0,39.4,0,0,1,500000
1648.0,4,1,27.0,18.4,1,1,1,762000
2215.0,1,3,1.0,,1,1,1,501000
4354.0,5,1,34.0,27.9,1,0,2,767000
2991.0,1,2,36.0,41.7,1,0,3,500000
3160.0,1,2,4.0,4.4,0,1,1,515000
3624.0,1,1,0.0,21.8,1,1,3,500000
3551.0,3,3,39.0,5.0,0,1,3,777000
504.0,3,3,11.0,26.2,1,1,2,668000
1376.0,1,1,35.0,45.0,1,1,1,500000
1491.0,5,1,44.0,39.3,0,1,2,500000
4642.0,4,2,22.0,12.2,1,1,1,1057000
4864.0,4,1,46.0,48.8,1,1,2,500000
4965.0,2,3,,33.7,1,0,3,500000
1135.0,5,1,10.0,1.5,1,1,1,1060000
2193.0,3,2,9.0,13.5,0,1,3,794000
2182.0,1,2,2.0,13.8,1,0,3,500000
619.0,2,2,13.0,4.4,0,1,2,500000
1330.0,4,2,15.0,48.0,1,0,1,500000
4175.0,3,2,9.0,24.4,1,1,3,830000
1869.0,3,1,,44.9,1,1,2,500000
1240.0,1,1,9.0,16.8,1,0,1,500000
616.0,4,1,11.0,7.1,0,0,1,703000
3338.0,5,1,29.0,24.2,1,1,3,864000
1650.0,3,2,40.0,6.6,1,1,1,621000
2431.0,1,3,0.0,24.8,0,0,3,500000
1512.0,5,1,4.0,46.1,1,1,1,665000
2164.0,4,3,19.0,26.5,0,0,2,791000
1581.0,3,1,7.0,,1,1,3,566000
1012.0,5,1,42.0,8.7,1,1,3,870000
3349.0,5,3,,3.1,1,1,1,1415000
1059.0,5,2,0.0,6.4,0,1,1,972000
4172.0,3,1,19.0,30.3,1,1,3,692000
3843.0,3,1,27.0,5.7,1,1,1,792000
4570.0,2,1,42.0,19.4,1,0,2,500000
1970.0,4,3,36.0,,1,0,1,705000
1080.0,1,2,46.0,20.0,1,0,2,500000
2794.0,5,3,36.0,9.0,1,1,2,1020000
3647.0,2,3,11.0,14.4,1,0,2,762000
4749.0,1,2,36.0,46.5,1,1,2,500000
2179.0,2,3,48.0,34.1,1,1,2,500000
4006.0,3,2,,25.3,1,0,1,618000
3244.0,5,1,43.0,1.6,1,1,2,864000
3856.0,1,2,27.0,49.6,1,1,1,500000
4545.0,1,1,46.0,33.9,0,1,2,500000
1743.0,1,3,14.0,16.5,0,1,3,500000
3618.0,1,3,5.0,44.1,0,1,2,500000
2641.0,1,1,43.0,13.7,0,1,3,500000
3559.0,2,3,19.0,27.7,1,0,2,589000
3459.0,5,2,49.0,32.2,1,1,2,909000
2765.0,3,1,13.0,11.8,1,1,2,696000
2979.0,3,3,1.0,48.9,1,0,3,801000
2135.0,3,1,8.0,37.7,1,1,3,638000
2257.0,3,2,36.0,,1,0,2,512000
4952.0,2,2,19.0,9.8,1,1,1,715000
2570.0,4,3,25.0,3.6,1,0,2,977000
3349.0,5,2,28.0,16.7,1,1,3,1068000
3751.0,1,1,0.0,37.9,0,1,2,500000
4230.0,4,2,34.0,14.2,1,1,3,950000
2989.0,3,1,5.0,27.4,1,1,3,669000
2131.0,4,1,36.0,,1,0,3,556000
3316.0,5,2,4.0,6.3,0,1,2,1062000
1515.0,1,3,32.0,34.6,1,0,3,500000
1848.0,1,2,48.0,5.5,1,1,3,500000
3587.0,5,1,13.0,48.3,0,1,2,736000
3339.0,5,1,11.0,24.9,1,1,3,1105000
835.0,3,2,,8.4,1,1,2,714000
,1,3,19.0,17.8,1,1,3,541000
4046.0,4,3,49.0,21.3,0,1,1,741000
1351.0,2,1,23.0,38.2,1,1,1,500000
2187.0,2,1,42.0,37.4,1,1,3,500000
2431.0,5,3,33.0,31.0,1,0,1,910000
4246.0,3,2,24.0,6.2,0,0,2,586000
2927.0,2,1,49.0,8.4,1,0,1,500000
2068.0,1,1,28.0,5.6,1,1,3,548000
4500.0,5,3,38.0,29.3,1,0,3,980000
3238.0,4,2,30.0,44.0,1,1,2,618000
3998.0,5,3,46.0,22.3,0,0,3,848000
4413.0,4,2,42.0,8.9,1,0,2,757000
1566.0,5,2,49.0,28.3,0,1,1,619000
4880.0,5,2,22.0,40.8,1,1,1,916000
2944.0,5,1,43.0,37.3,0,0,2,545000
4607.0,4,3,37.0,44.2,1,1,2,802000
,4,3,19.0,14.6,1,0,3,979000
4469.0,5,2,22.0,10.5,1,1,1,1159000
3046.0,2,1,44.0,,0,1,2,500000
1253.0,3,1,15.0,33.2,1,0,1,500000
2582.0,3,3,49.0,16.2,0,1,2,605000
3274.0,3,1,41.0,37.4,1,1,1,500000
3396.0,4,1,7.0,40.9,1,1,3,720000
4685.0,4,2,49.0,31.1,1,0,1,660000
1275.0,2,1,20.0,34.7,1,0,1,500000
2125.0,3,2,0.0,19.4,1,1,1,826000
3569.0,3,3,,,0,0,1,617000
917.0,5,1,28.0,26.7,1,1,1,634000
614.0,4,3,31.0,42.6,1,1,3,693000
1116.0,3,3,37.0,42.2,1,1,2,500000
4474.0,2,1,4.0,41.8,0,0,1,500000
3767.0,2,1,46.0,1.5,1,0,3,608000
1325.0,3,3,21.0,37.7,1,1,1,619000
2016.0,4,1,46.0,38.2,1,0,1,500000
3646.0,2,2,33.0,34.2,1,0,2,500000
912.0,5,2,0.0,38.1,1,0,1,795000
1228.0,2,1,25.0,42.3,0,1,3,500000
3848.0,1,3,42.0,24.0,0,1,3,500000
3308.0,1,1,9.0,25.6,1,0,2,500000
1175.0,4,1,29.0,7.1,0,0,1,500000
,3,3,49.0,19.9,1,0,3,638000
3004.0,4,3,17.0,32.5,1,1,1,945000
3467.0,4,2,16.0,39.2,0,1,1,745000
3286.0,4,3,25.0,11.6,0,1,1,913000
1622.0,4,2,7.0,7.8,0,1,2,859000
4579.0,5,3,46.0,33.5,1,1,1,883000
2071.0,5,1,39.0,1.1,1,1,3,1063000
2643.0,2,2,48.0,9.7,1,1,1,500000
2187.0,1,2,11.0,2.4,1,0,3,500000
4632.0,4,2,26.0,9.2,0,0,1,887000
4351.0,2,1,7.0,9.9,1,0,3,809000
3940.0,1,1,24.0,20.0,0,0,3,500000
4266.0,3,1,45.0,20.7,1,1,1,500000
2826.0,5,1,,43.8,1,1,1,761000
3414.0,1,1,32.0,26.0,1,0,3,500000
4452.0,3,2,0.0,36.4,1,1,2,907000
1095.0,1,1,18.0,6.1,1,1,1,500000
,5,2,30.0,12.0,1,0,2,1106000
1865.0,5,1,15.0,35.4,1,0,1,872000
4992.0,2,3,,3.6,0,1,1,699000
1198.0,4,2,47.0,24.8,1,1,1,544000
895.0,1,3,4.0,,0,0,1,500000
4671.0,1,2,,30.5,0,0,2,500000
4860.0,3,3,25.0,2.1,1,1,1,952000
3002.0,5,1,27.0,16.8,1,0,3,893000
2319.0,1,1,1.0,32.2,1,1,3,520000
1217.0,5,1,49.0,8.3,1,1,2,846000
3282.0,1,2,,35.1,1,0,1,500000
4077.0,2,3,8.0,37.6,0,1,3,512000
643.0,4,1,32.0,49.1,0,1,2,500000
3640.0,1,3,40.0,11.3,1,0,1,500000
4991.0,5,3,24.0,41.4,1,1,3,1059000
3438.0,2,1,47.0,26.5,1,1,3,500000
4136.0,1,1,12.0,19.3,1,1,2,500000
3722.0,3,3,8.0,7.0,0,0,1,722000
1667.0,4,1,12.0,,1,1,1,579000
3116.0,1,1,30.0,12.6,1,1,3,500000
1562.0,2,1,40.0,19.2,0,0,3,500000
2656.0,3,2,10.0,4.1,1,0,3,880000
3482.0,2,3,3.0,40.3,1,0,1,500000
3794.0,2,3,33.0,38.6,0,1,2,500000
1656.0,3,2,37.0,36.9,1,0,2,500000
1232.0,2,3,45.0,15.7,1,0,1,500000
4830.0,3,1,3.0,9.5,0,1,2,817000
1453.0,1,3,37.0,32.2,1,0,3,500000
3039.0,3,1,18.0,25.3,0,0,2,500000
3824.0,3,2,5.0,9.7,1,0,2,881000
3801.0,4,1,33.0,34.6,1,0,2,634000
2042.0,3,3,17.0,,1,0,3,500000
1691.0,3,3,12.0,37.6,1,1,1,665000
3493.0,1,3,40.0,37.3,1,0,3,500000
3181.0,4,2,22.0,47.6,1,0,1,599000
1717.0,5,2,,10.9,1,1,1,1010000
2040.0,1,3,44.0,28.7,0,1,1,500000
3736.0,1,1,10.0,49.0,1,1,2,500000
2886.0,5,2,0.0,9.1,1,1,2,1307000
4219.0,3,3,23.0,35.3,1,0,1,729000
1888.0,2,3,6.0,29.7,0,1,1,500000
2356.0,4,2,24.0,29.7,1,1,2,709000
1865.0,2,2,20.0,,1,0,3,500000
999.0,5,2,14.0,46.6,1,1,1,703000
2180.0,1,1,0.0,39.3,1,0,3,500000
1010.0,1,1,11.0,3.8,0,1,2,500000
4812.0,4,3,6.0,42.8,1,0,1,819000
1824.0,1,2,14.0,12.1,1,1,3,500000
1655.0,1,1,20.0,19.5,0,1,3,500000
2327.0,4,2,18.0,23.6,1,1,3,1061000
3641.0,4,3,28.0,24.6,1,0,2,853000
3986.0,5,1,24.0,22.3,0,1,2,742000
2310.0,1,1,,46.9,1,1,3,500000
,1,1,48.0,35.6,1,1,3,500000
2714.0,5,3,31.0,31.9,1,1,2,946000
4686.0,3,2,48.0,3.4,0,1,3,810000
1213.0,3,1,34.0,45.3,1,1,3,500000
4102.0,3,3,43.0,45.6,1,0,2,500000
4634.0,5,2,37.0,39.2,1,1,3,884000
,1,3,25.0,1.3,1,0,3,703000
4768.0,5,2,10.0,,1,1,3,1204000
1743.0,5,3,34.0,12.0,1,1,2,1221000
4209.0,3,2,7.0,7.4,1,1,3,1058000
1581.0,2,1,45.0,20.5,1,0,2,500000
955.0,1,2,13.0,46.2,1,1,2,500000
1394.0,3,3,9.0,24.1,1,1,1,838000
